movie_id,title,genre_primary,genre_secondary,content_type,language,country_of_origin,release_year,imdb_rating,poster_url,backdrop_url,overview,source,tmdb_id,popularity,search_relevance,_imdb,_year,user_id,duration_minutes,rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
tmdb_299534,Avengers: Endgame,TMDB,,Movie,EN,TMDB,2019,8.242,https://image.tmdb.org/t/p/w500/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,https://image.tmdb.org/t/p/w780/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",TMDB,299534.0,54.8454,800,8.242,2019,user_00001,,,,,,,,,
tmdb_1003596,Avengers: Doomsday,TMDB,,Movie,EN,TMDB,2026,0.0,https://image.tmdb.org/t/p/w500/jzPwsojjFStf5lR5Nm07w2hH56G.jpg,https://image.tmdb.org/t/p/w780/s4v0UX1anfXm0UvloLsTTJ4v222.jpg,Beloved heroes from three distinct universes are set on a deadly collision course and face an existential threat unlike anything they've ever encountered.,TMDB,1003596.0,41.7883,800,0.0,2026,user_00001,,,,,,,,,
movie_0468,King Phoenix,Action,Western,TV Series,Spanish,USA,1992,7.0,,,,Local,,,300,7.0,1992,user_00001,27.0,TV-Y7,,,,117.0,False,2023-06-17,False
